날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2021-05-01",108,10.2,8.5,15.3
"	2021-05-02",108,12.4,7.3,18.7
"	2021-05-03",108,14.1,8.4,20.3
"	2021-05-04",108,13.8,11.4,15.8
"	2021-05-05",108,13.9,10.3,18.4
"	2021-05-06",108,15.7,7.9,23.1
"	2021-05-07",108,14.4,10.7,17.2
"	2021-05-08",108,14.3,8.9,21
"	2021-05-09",108,15.7,10,21.8
"	2021-05-10",108,13.2,11.7,14.6
"	2021-05-11",108,18.5,9.4,25.7
"	2021-05-12",108,22,16.9,27.7
"	2021-05-13",108,22.9,16.6,29.6
"	2021-05-14",108,24.1,18,30.8
"	2021-05-15",108,22.1,20.8,26.2
"	2021-05-16",108,18.4,14.8,20.8
"	2021-05-17",108,15.3,14.2,16.7
"	2021-05-18",108,17.9,13.6,24.5
"	2021-05-19",108,19.9,12.4,26.6
"	2021-05-20",108,18.7,15.6,22.9
"	2021-05-21",108,16,14.2,18.2
"	2021-05-22",108,18.6,13.8,23.8
"	2021-05-23",108,19.5,14.3,25.1
"	2021-05-24",108,19.4,16.4,24.5
"	2021-05-25",108,15.3,11.9,19.3
"	2021-05-26",108,18,11.5,23
"	2021-05-27",108,15.8,13.9,18.7
"	2021-05-28",108,15.3,12.4,19.7
"	2021-05-29",108,15.4,12.8,19.1
"	2021-05-30",108,18.4,10.8,26.3
"	2021-05-31",108,19.9,16.5,23.8
"	2021-06-01",108,20.2,15.9,23.9
"	2021-06-02",108,23.2,16.6,29.7
"	2021-06-03",108,19.1,14.6,22.7
"	2021-06-04",108,18.5,13.3,23.6
"	2021-06-05",108,20.8,17,25.7
"	2021-06-06",108,23,18.4,28.2
"	2021-06-07",108,21.1,19.4,24
"	2021-06-08",108,23.6,18.8,29.5
"	2021-06-09",108,25.8,19.5,31.6
"	2021-06-10",108,24.9,20.5,29.8
"	2021-06-11",108,21.5,19.9,24.4
"	2021-06-12",108,24.2,18.2,30.2
"	2021-06-13",108,24.8,20.9,29.7
"	2021-06-14",108,24.8,18.9,30.2
"	2021-06-15",108,22.5,21.5,25.3
"	2021-06-16",108,24.3,20.3,28.9
"	2021-06-17",108,21.9,19.6,25
"	2021-06-18",108,20,19,21.4
"	2021-06-19",108,22.3,17.5,27.4
"	2021-06-20",108,22.9,17.6,29
"	2021-06-21",108,23.6,19.2,28.5
"	2021-06-22",108,22.8,19.7,28.6
"	2021-06-23",108,22.4,18.8,27.9
"	2021-06-24",108,23,18.5,28
"	2021-06-25",108,24.1,19.5,29.5
"	2021-06-26",108,22.8,19.9,26.7
"	2021-06-27",108,24.5,19.8,30.8
"	2021-06-28",108,23.7,21,29.2
"	2021-06-29",108,23.9,21.3,28.4
"	2021-06-30",108,24.3,21,28.8
"	2021-07-01",108,26.3,21.4,31
"	2021-07-02",108,27.1,23.6,31.8
"	2021-07-03",108,22.6,19.6,25.7
"	2021-07-04",108,21.4,19.8,23.1
"	2021-07-05",108,23.3,20.1,26.9
"	2021-07-06",108,25.3,21,30.1
"	2021-07-07",108,26.4,23.9,29.1
"	2021-07-08",108,26,23.8,29.8
"	2021-07-09",108,25.5,23.6,29.2
"	2021-07-10",108,25.9,23.1,29.2
"	2021-07-11",108,25.7,24.1,27.5
"	2021-07-12",108,28.1,23.8,32.5
"	2021-07-13",108,28.8,26.3,31.5
"	2021-07-14",108,29.7,26.1,33.5
"	2021-07-15",108,29.1,25.9,34.5
"	2021-07-16",108,28.8,24.2,35.2
"	2021-07-17",108,29.1,24.7,32.8
"	2021-07-18",108,29.6,25.7,34.1
"	2021-07-19",108,26.4,24,30.5
"	2021-07-20",108,27.9,23.6,31.8
"	2021-07-21",108,30.5,25.3,35.3
"	2021-07-22",108,31.2,26.5,35.9
"	2021-07-23",108,31.2,27.2,35.8
"	2021-07-24",108,31.7,26.9,36.5
"	2021-07-25",108,31.5,27.2,35.9
"	2021-07-26",108,31.2,27.4,35.4
"	2021-07-27",108,31.1,27.8,35.7
"	2021-07-28",108,30.4,27.1,34.7
"	2021-07-29",108,29.6,27,33.3
"	2021-07-30",108,30.5,25.8,35.4
"	2021-07-31",108,29.8,26.8,34.3
"	2021-08-01",108,27.1,25.1,28.8
"	2021-08-02",108,26.5,25,28.6
"	2021-08-03",108,28,24.1,31.4
"	2021-08-04",108,28.9,26.3,33.2
"	2021-08-05",108,29.4,25.6,33.7
"	2021-08-06",108,28.1,26,32.2
"	2021-08-07",108,28,23.4,32.3
"	2021-08-08",108,26.8,24.4,32.1
"	2021-08-09",108,28.3,23.3,33.6
"	2021-08-10",108,27.7,24.3,32.2
"	2021-08-11",108,27.4,24.1,31.6
"	2021-08-12",108,26.8,24,31.7
"	2021-08-13",108,26.6,23.4,30.1
"	2021-08-14",108,26.1,23.4,30.5
"	2021-08-15",108,26.9,21.7,32.4
"	2021-08-16",108,27.3,22.5,32.8
"	2021-08-17",108,25.9,21.9,31.3
"	2021-08-18",108,24.3,20.6,31
"	2021-08-19",108,26,21,31.5
"	2021-08-20",108,26.6,22.6,30.7
"	2021-08-21",108,23.8,21,25.5
"	2021-08-22",108,24.4,22.4,27
"	2021-08-23",108,22.4,21,24
"	2021-08-24",108,23.4,21.1,26.4
"	2021-08-25",108,25,23.5,27.3
"	2021-08-26",108,25.5,22.9,27.9
"	2021-08-27",108,22.4,20.4,25.5
"	2021-08-28",108,23.6,19.7,28.2
"	2021-08-29",108,23.7,21.9,26.3
"	2021-08-30",108,24.2,21.2,27.7
"	2021-08-31",108,20.5,18.1,23.1
"	2021-09-01",108,21.4,18.5,23.9
"	2021-09-02",108,23.5,20.7,26.7
"	2021-09-03",108,24.3,20.6,29.2
"	2021-09-04",108,23.2,18.5,28.6
"	2021-09-05",108,23.1,19.4,27.3
"	2021-09-06",108,22.3,18,26.4
"	2021-09-07",108,19.6,17.6,20.9
"	2021-09-08",108,22.2,19,26.9
"	2021-09-09",108,23.5,19.1,29.1
"	2021-09-10",108,23.6,19.5,28.9
"	2021-09-11",108,24,19.9,29.4
"	2021-09-12",108,24.2,19.2,29.8
"	2021-09-13",108,24.8,20.8,30.3
"	2021-09-14",108,24.6,20,29.5
"	2021-09-15",108,23.6,19.5,28.9
"	2021-09-16",108,22.9,18,27.3
"	2021-09-17",108,23.5,20.5,28.2
"	2021-09-18",108,23.9,18.9,29.8
"	2021-09-19",108,23.7,20.8,27.8
"	2021-09-20",108,23.7,19,28.4
"	2021-09-21",108,22,17.4,26.2
"	2021-09-22",108,20.2,16.8,24.3
"	2021-09-23",108,20.9,16.9,25.9
"	2021-09-24",108,21.8,16.7,26.9
"	2021-09-25",108,21.2,18.7,23.1
"	2021-09-26",108,22.6,18.4,27.3
"	2021-09-27",108,21.6,18.7,25
"	2021-09-28",108,21.5,19.6,24.4
"	2021-09-29",108,20.2,17.8,21.4
"	2021-09-30",108,20.3,16,25.9
"	2021-10-01",108,21.1,16.9,27.5
"	2021-10-02",108,20.7,16.4,26.6
"	2021-10-03",108,22.3,17.1,28.8
"	2021-10-04",108,22.9,19.2,25.6
"	2021-10-05",108,23.6,21.7,26.5
"	2021-10-06",108,18.8,17.9,21.7
"	2021-10-07",108,19.4,17.9,21.9
"	2021-10-08",108,18.8,17.5,20
"	2021-10-09",108,20.9,18.5,24.1
"	2021-10-10",108,19.9,14.9,24.3
"	2021-10-11",108,15.2,12.6,17.8
"	2021-10-12",108,17.9,15.8,21.3
"	2021-10-13",108,19.6,14.9,25.2
"	2021-10-14",108,19.7,17.4,23.9
"	2021-10-15",108,19,17,21.4
"	2021-10-16",108,10.7,4.2,18.1
"	2021-10-17",108,5.6,1.3,10.8
"	2021-10-18",108,9.6,2.8,16.1
"	2021-10-19",108,10.9,7.1,15
"	2021-10-20",108,9.5,4.6,15.8
"	2021-10-21",108,9.8,4.9,16.2
"	2021-10-22",108,10.8,5.2,17.2
"	2021-10-23",108,11.4,5.7,18.4
"	2021-10-24",108,11.4,6,18.1
"	2021-10-25",108,11.7,6.3,17.6
"	2021-10-26",108,13,7.7,19
"	2021-10-27",108,13.4,9.8,18.1
"	2021-10-28",108,12.7,7.1,20
"	2021-10-29",108,14.6,10.5,20.6
"	2021-10-30",108,13.8,11,18
"	2021-10-31",108,14.1,9.2,20.3
"	2022-05-01",108,13.4,7.9,19.2
"	2022-05-02",108,14.2,9.1,19.4
"	2022-05-03",108,14.8,9.1,20.8
"	2022-05-04",108,17.8,10,25.2
"	2022-05-05",108,18.9,12.5,25.8
"	2022-05-06",108,19.6,13.7,25.6
"	2022-05-07",108,18.4,15.3,23.1
"	2022-05-08",108,15.3,11.7,18.2
"	2022-05-09",108,17.9,11,25.3
"	2022-05-10",108,19.9,13.6,26.3
"	2022-05-11",108,19.7,16.6,25.2
"	2022-05-12",108,20.9,14.1,28.1
"	2022-05-13",108,19.4,15,25.2
"	2022-05-14",108,15.7,11.9,20
"	2022-05-15",108,16.2,10.5,22.4
"	2022-05-16",108,17.3,10.9,23.7
"	2022-05-17",108,20,13,27.4
"	2022-05-18",108,20,15.7,25.4
"	2022-05-19",108,19.9,16.1,24.2
"	2022-05-20",108,20.6,15.6,25.8
"	2022-05-21",108,20.1,16.1,26
"	2022-05-22",108,20.3,15.7,25.8
"	2022-05-23",108,23,17.8,30.7
"	2022-05-24",108,22.9,16.7,30.2
"	2022-05-25",108,21,16.7,26.7
"	2022-05-26",108,18.7,14.1,23.5
"	2022-05-27",108,20,16,25.6
"	2022-05-28",108,22.3,15,29.3
"	2022-05-29",108,23.1,19.3,29.7
"	2022-05-30",108,20.8,17.2,24.7
"	2022-05-31",108,20.7,14.2,27.2
"	2022-06-01",108,22.1,16.2,28.6
"	2022-06-02",108,21.5,17.1,26.9
"	2022-06-03",108,24.5,18.7,32.6
"	2022-06-04",108,25.6,20.3,29.7
"	2022-06-05",108,22.7,20.2,27
"	2022-06-06",108,19.7,16.7,24.5
"	2022-06-07",108,20.6,15.1,25.1
"	2022-06-08",108,21.2,16.2,25.8
"	2022-06-09",108,20.9,18.5,24.5
"	2022-06-10",108,20.9,17.2,26.6
"	2022-06-11",108,24.6,17.7,32.7
"	2022-06-12",108,24.6,18.9,31.5
"	2022-06-13",108,23.6,19.6,29.2
"	2022-06-14",108,21.5,17.7,27.1
"	2022-06-15",108,17.5,14.9,20.1
"	2022-06-16",108,20.3,17.6,24.8
"	2022-06-17",108,22.5,16.5,28.1
"	2022-06-18",108,23.3,22,25.1
"	2022-06-19",108,23.4,22.3,25.1
"	2022-06-20",108,25.2,22,29
"	2022-06-21",108,26.5,21.2,32.6
"	2022-06-22",108,25.9,21.9,31
"	2022-06-23",108,24.3,23.3,26.4
"	2022-06-24",108,22.6,20.6,24.9
"	2022-06-25",108,26,21.5,30.5
"	2022-06-26",108,26.5,24.8,28.1
"	2022-06-27",108,26.8,25.4,28.1
"	2022-06-28",108,26.9,25.7,27.9
"	2022-06-29",108,25.1,24.4,26.1
"	2022-06-30",108,22.3,21.2,24.5
"	2022-07-01",108,26.6,21.9,30.9
"	2022-07-02",108,28.8,24,33.8
"	2022-07-03",108,29.3,24.4,34.2
"	2022-07-04",108,29.3,26.4,32.6
"	2022-07-05",108,29.2,26.7,33.1
"	2022-07-06",108,29.5,26.2,33.3
"	2022-07-07",108,28.2,26.4,31
"	2022-07-08",108,25.8,24,27.9
"	2022-07-09",108,26.9,24,30.9
"	2022-07-10",108,29.2,24.6,35.1
"	2022-07-11",108,27,24.7,30.6
"	2022-07-12",108,26.8,23.2,29.4
"	2022-07-13",108,25,24,27.1
"	2022-07-14",108,25.7,23.3,29.9
"	2022-07-15",108,26,23,30.3
"	2022-07-16",108,24.8,23.2,28.2
"	2022-07-17",108,25.5,22.5,29.7
"	2022-07-18",108,26.8,23.1,30.1
"	2022-07-19",108,27.4,24.3,31.1
"	2022-07-20",108,27.1,24.3,30.4
"	2022-07-21",108,23.2,20.8,25.2
"	2022-07-22",108,25.1,22.9,27.5
"	2022-07-23",108,24.8,22.3,28
"	2022-07-24",108,25,22,28.4
"	2022-07-25",108,27.5,23.6,32
"	2022-07-26",108,28.9,24.4,33.1
"	2022-07-27",108,29.3,26.4,33.4
"	2022-07-28",108,29.7,25.1,34.4
"	2022-07-29",108,30.7,27.3,34.3
"	2022-07-30",108,30.9,27.3,36.1
"	2022-07-31",108,27.2,25.4,29
"	2022-08-01",108,28.6,25.4,32.4
"	2022-08-02",108,26.8,25.5,28.5
"	2022-08-03",108,27.1,25.2,30
"	2022-08-04",108,28.9,26,32.9
"	2022-08-05",108,29.4,27,32.7
"	2022-08-06",108,28.7,27.4,30.3
"	2022-08-07",108,28.9,27.2,31.7
"	2022-08-08",108,26.8,,28.4
"	2022-08-09",108,25.1,22,26.5
"	2022-08-10",108,24.7,21.4,28.8
"	2022-08-11",108,25,23.4,27.5
"	2022-08-12",108,27,23,32.4
"	2022-08-13",108,25.8,24.7,27.5
"	2022-08-14",108,27.6,24.5,31.5
"	2022-08-15",108,28.1,26.6,29.8
"	2022-08-16",108,26.7,24.1,30
"	2022-08-17",108,26,22.8,30.5
"	2022-08-18",108,25.6,22.4,29.8
"	2022-08-19",108,26,23.3,27.5
"	2022-08-20",108,28.2,25.7,32
"	2022-08-21",108,28.1,24.7,32
"	2022-08-22",108,26.8,22.9,30.2
"	2022-08-23",108,25.4,22.4,30.2
"	2022-08-24",108,24.8,22.4,27.9
"	2022-08-25",108,22.2,21.1,24
"	2022-08-26",108,23.8,19.9,28.4
"	2022-08-27",108,21.5,17.6,25.5
"	2022-08-28",108,22.6,16.1,28.4
"	2022-08-29",108,21,19.5,22.5
"	2022-08-30",108,19.1,17.9,20.3
"	2022-08-31",108,21.7,19.6,24.9
"	2022-09-01",108,24,18.3,30.4
"	2022-09-02",108,24.7,20.3,29.8
"	2022-09-03",108,24.2,20.5,29.2
"	2022-09-04",108,22.3,19.8,24
"	2022-09-05",108,19.2,17.7,22.7
"	2022-09-06",108,21,17,26.3
"	2022-09-07",108,22.8,17.9,28.1
"	2022-09-08",108,23.2,16.7,29.5
"	2022-09-09",108,24.3,18.9,30.8
"	2022-09-10",108,23.6,19,28.4
"	2022-09-11",108,23.3,20.6,26.4
"	2022-09-12",108,23.8,20.3,27.5
"	2022-09-13",108,24.3,21.8,26.4
"	2022-09-14",108,24.6,22.7,27.9
"	2022-09-15",108,25.2,22,28.3
"	2022-09-16",108,25.7,23.4,29.9
"	2022-09-17",108,25.6,23.3,29.4
"	2022-09-18",108,27.1,23,32.5
"	2022-09-19",108,24.6,19.5,29.6
"	2022-09-20",108,19.9,16.1,24.6
"	2022-09-21",108,19.4,13,25.6
"	2022-09-22",108,19.8,14.2,24.7
"	2022-09-23",108,17.5,14.7,22.2
"	2022-09-24",108,18.5,12.3,24.2
"	2022-09-25",108,19.6,15.4,25.2
"	2022-09-26",108,20,14.8,25.4
"	2022-09-27",108,20.9,14,28
"	2022-09-28",108,20.4,16.1,26.1
"	2022-09-29",108,20.4,16.4,26.5
"	2022-09-30",108,20.7,14.8,27.7
"	2022-10-01",108,20.9,14.4,27.6
"	2022-10-02",108,19.4,17.2,21.6
"	2022-10-03",108,21.4,17.5,23.4
"	2022-10-04",108,17.9,14.2,23
"	2022-10-05",108,16.6,14.1,21.6
"	2022-10-06",108,15.8,12.7,19.1
"	2022-10-07",108,14.3,11,18.6
"	2022-10-08",108,15.8,11.1,21.6
"	2022-10-09",108,13.1,10.7,14.5
"	2022-10-10",108,9.9,8.2,11.9
"	2022-10-11",108,11.1,7.4,16.4
"	2022-10-12",108,13.5,6.5,20.6
"	2022-10-13",108,16.3,10.7,22.7
"	2022-10-14",108,17.1,12.4,23
"	2022-10-15",108,18.2,12.6,24.4
"	2022-10-16",108,16.9,15.1,20.5
"	2022-10-17",108,11.2,7.4,15.1
"	2022-10-18",108,9.4,5,14.2
"	2022-10-19",108,10.5,4.4,16.8
"	2022-10-20",108,12.9,6,19.7
"	2022-10-21",108,14,8.8,20.9
"	2022-10-22",108,15.1,10.5,20.8
"	2022-10-23",108,14,10.4,18.6
"	2022-10-24",108,10.6,7.5,14.8
"	2022-10-25",108,11.3,5.9,17.6
"	2022-10-26",108,12.9,8,17.8
"	2022-10-27",108,13.2,8.6,18.9
"	2022-10-28",108,13.6,8.2,20.6
"	2022-10-29",108,14.8,10.2,21.3
"	2022-10-30",108,14.9,10.4,21.3
"	2022-10-31",108,14.9,11.2,21.1
